"Links","Time","Nome","PPG","RPG","APG","Altura","Peso","País","Idade","Data_de_nascimento","DRAFT","Experiência"
"https://www.nba.com/player/1631288/jamal-cain/","New Orleans Pelicans | #8 | Forward","Jamal
Cain","3.3","2.0","0.6","6'6"" (1.98m)","191lb (87kg)","USA","26 years","March 20, 1999","Undrafted","2 Years"
"https://www.nba.com/player/203484/kentavious-caldwell-pope/","Orlando Magic | #3 | Guard","Kentavious
Caldwell-Pope","8.8","2.1","1.8","6'5"" (1.96m)","204lb (93kg)","USA","32 years","February 18, 1993","2013 R1 Pick 8","11 Years"
"https://www.nba.com/player/1641739/toumani-camara/","Portland Trail Blazers | #33 | Forward","Toumani
Camara","10.9","5.8","2.2","6'7"" (2.01m)","229lb (104kg)","Belgium","24 years","May 8, 2000","2023 R2 Pick 52","1 Year"
"https://www.nba.com/player/1628427/vlatko-cancar/","Denver Nuggets | #31 | Forward","Vlatko
?an?ar","1.6","2.6","0.7","6'8"" (2.03m)","236lb (107kg)","Slovenia","27 years","April 10, 1997","2017 R2 Pick 49","4 Years"
"https://www.nba.com/player/203991/clint-capela/","Atlanta Hawks | #15 | Center","Clint
Capela","8.9","8.5","1.1","6'10"" (2.08m)","256lb (116kg)","Switzerland","30 years","May 18, 1994","2014 R1 Pick 25","10 Years"
"https://www.nba.com/player/1642382/branden-carlson/","Oklahoma City Thunder | #15 | Center","Branden
Carlson","3.4","1.6","0.4","7'0"" (2.13m)","220lb (100kg)","USA","25 years","June 14, 1999","Undrafted","Rookie"
"https://www.nba.com/player/1642267/bub-carrington/","Washington Wizards | #8 | Guard","Bub
Carrington","9.0","3.9","4.1","6'4"" (1.93m)","190lb (86kg)","USA","19 years","July 21, 2005","2024 R1 Pick 14","Rookie"
"https://www.nba.com/player/1642269/devin-carter/","Sacramento Kings | #22 | Guard","Devin
Carter","4.3","2.3","1.3","6'2"" (1.88m)","195lb (88kg)","USA","23 years","March 18, 2002","2024 R1 Pick 13","Rookie"
"https://www.nba.com/player/1628975/jevon-carter/","Chicago Bulls | #5 | Guard","Jevon
Carter","3.6","0.9","1.0","6'1"" (1.85m)","200lb (91kg)","USA","29 years","September 14, 1995","2018 R2 Pick 32","6 Years"
"https://www.nba.com/player/1628976/wendell-carter-jr/","Orlando Magic | #34 | Center-Forward","Wendell
Carter Jr.","9.0","7.5","2.1","6'10"" (2.08m)","270lb (122kg)","USA","25 years","April 16, 1999","2018 R1 Pick 7","6 Years"
"https://www.nba.com/player/1630618/dj-carton/",,"D.J.
Carton","0.8","1.0","0.8","6'3"" (1.91m)","200lb (91kg)","USA","24 years","August 5, 2000","Undrafted","1 Year"
"https://www.nba.com/player/1627936/alex-caruso/","Oklahoma City Thunder | #9 | Guard","Alex
Caruso","6.6","2.6","2.5","6'5"" (1.96m)","186lb (84kg)","USA","31 years","February 28, 1994","Undrafted","7 Years"
"https://www.nba.com/player/1642264/stephon-castle/","San Antonio Spurs | #5 | Guard","Stephon
Castle","14.0","3.2","3.7","6'6"" (1.98m)","215lb (98kg)","USA","20 years","November 1, 2004","2024 R1 Pick 4","Rookie"
"https://www.nba.com/player/1630658/colin-castleton/","Toronto Raptors | #11 | Center","Colin
Castleton","4.1","4.1","0.9","6'10"" (2.08m)","250lb (113kg)","USA","24 years","May 25, 2000","Undrafted","1 Year"
